"player_id","name","team","handle","verdict"
"84","함수호","삼성","hamsooho__","team_ok"
"72","류승민","두산","ryu.s.min_","team_ok"
"42","강민균","LG","min_kuk_00","team_ok"
"49","안치영","KT","chi_0_star","team_ok"
"163","장진혁","KT","j_jinhyuk_","team_ok"
"129","임근우","SSG","kw_07_22","team_ok"
"3779","손용준","LG","sonny50_","team_ok"
"107","윤정빈","삼성","jeong_jbin","team_ok"
"108","이창진","KIA","leechangjin66","team_ok"
"7934","차승준","삼성","jun.reflect","team_ok"
"7942","김창평","SSG","cp_kim_","team_ok"
"291","홍건희","KIA","_____guny","team_ok"
"305","양현","삼성","225studio.official","team_ok"
"318","최주형","두산","x.hyeong_15","team_ok"
"323","이우찬","LG","woochan.2","team_ok"
"381","이교훈","한화","hoon_kyo","team_ok"
"289","유영찬","LG","you.y.c","team_ok"
"218","김택연","두산","taekyeon_63","team_ok"
"380","손주영","LG","ju_young29","team_ok"
"346","성영탁","KIA","sy___t__65","team_ok"
"325","이태양","KIA","risingsun_46","team_ok"
"241","이형범","KIA","team_futures","team_ok"
"8119","이건욱","SSG","950213_lgw","team_ok"
"6987","김유영","LG","yu_zero_0","team_ok"
"269","조상우","KIA","940904no.11","team_ok"
"7011","현도훈","롯데","se.needs","team_ok"
"7951","곽도규","KIA","d0._.gyu","team_ok"
"259","올러","KIA","adamoller","team_ok"
"3775","원종현","키움","225studio.official","team_ok"
"272","후라도","삼성","ariel.b_30","team_ok"
"389","손동현","KT","_sdh______","team_ok"
"297","배찬승","삼성","c_s_bae_0101","team_ok"
"351","한재승","KIA","jae_seung_25","team_ok"
"8080","이종준","LG","zzong_zzun","team_ok"
"239","이진하","롯데","jh_06.02_","team_ok"
"204","왕옌청","한화","225studio.official","team_ok"
"387","김진성","LG","_k_j_sunshine__","team_ok"
"207","보쉴리","KT","calebboushley","team_ok"
"372","박치국","두산","park_chi_guk","team_ok"
"210","곽빈","두산","gwakbeen_","team_ok"
"279","톨허스트","LG","anders_tolhurst","team_ok"
"280","김명신","두산","myungsin.kim","team_ok"
"238","이준혁","NC","leejunhyuk05","team_ok"
"339","박영현","KT","park_0_hyun","team_ok"
"283","나균안","롯데","ananane__","team_ok"
"231","양창섭","삼성","cello_min_","team_ok"
"249","조병현","SSG","bhyeongj","team_ok"
"3756","원태인","삼성","won_tae_in","team_ok"
"3768","박준현","키움","junhyun__18","team_ok"
"228","소형준","KT","hj_so_30","team_ok"
"3758","전사민","NC","jin_woo_11","team_ok"
"364","장찬희","삼성","cks_gml_60","team_ok"
"232","우규민","KT","w.kyumin","team_ok"
"2619","최지민","KIA","ji_min_39","team_ok"
"3370","신영우","NC","_sxyxw43_","team_ok"
"266","김재윤","삼성","extraordinaryleia","team_ok"
"376","임찬규","LG","channnnnnnnnnnnnnm","team_ok"
"369","김원중","롯데","wonjungkeem","team_ok"
"3753","안우진","키움","anwoojin41","team_ok"
"248","조동욱","한화","c_ukkk_1102","team_ok"
"252","최지광","삼성","g.gwang__","team_ok"
"329","송승기","LG","s.o_o._n_g_tnd._13","team_ok"
"247","정해영","KIA","hai._.young._.62","team_ok"
"264","오러클린","삼성","_jackoloughlin_","team_ok"
"284","최민준","SSG","3c_mjw11","team_ok"
"285","임기영","삼성","mireu.0918","team_ok"
"343","양현종","KIA","yangyang545454","team_ok"
"242","전용주","KT","yongjuraggi","team_ok"
"370","노경은","SSG","team_futures","team_ok"
"203","하영민","키움","ha_no.50","team_ok"
"330","오원석","KT","wswswswswsws47","team_ok"
"3802","버하겐","NC","drewverhagen","team_ok"
"350","최원태","삼성","wontae20","team_ok"
